UniProt	GeneName
H3BN30	C16orf97
Q6ZP98	C16orf47
Q8IYS4	C16orf71
Q14CZ0	C16orf72
Q8WTQ4	C16orf78
Q8N9R0	LINC00304
Q6PH81	C16orf87
Q8N7U9	LINC00469
Q7Z4B0	LINC00305
Q9BU20	CPLANE2
P53672	CRYBA2
O60519	CREBL2
A8MQ03	CYSRT1
A0A1B0GTH6	CSNKA2IP
Q5J8M3	EMC4
Q8NCL9	APCDD1L
A6NH57	ARL5C
Q9NWB6	ARGLU1
Q30KQ7	DEFB113
Q8N136	DAW1
Q30KQ1	DEFB133
Q8N8Z6	DCBLD1
Q8N2C3	DEPDC4
Q9H7Y0	CXorf36
Q9P1J3	DHRS4-AS1
A8MXU0	DEFB108A
Q5J5C9	DEFB121
Q5VU92	DCAF12L1
Q6PH85	DCUN1D2
A6NKP2	SDR42E2
Q30KQ8	DEFB112
Q8IWE4	DCUN1D3
Q5T1A1	DCST2
Q5H9U9	DDX60L
Q8N687	DEFB125
Q5TDH0	DDI2
Q6ICB0	DESI1
Q7Z388	DPY19L4
P0CZ25	DNAH10OS
P0DP73	DEFB130B
Q5T197	DCST1
Q8IZD4	DCP1B
Q9H1M3	DEFB129
Q9H9R9	DBNDD1
Q4QY38	DEFB134
Q5QP82	DCAF10
O75935	DCTN3
Q8N9W8	FAM71D
Q86X60	FAM72B
Q8TAV0	FAM76A
Q6L9T8	FAM72D
Q9H1C7	CYSTM1
Q8WUS8	SDR42E1
Q5JUQ0	FAM78A
Q8TBF8	FAM81A
Q9BQN1	FAM83C
Q2M2I3	FAM83E
Q6NXN4	DPY19L2P1
Q2PZI1	DPY19L1
Q7Z7B7	DEFB132
Q3SXM0	DCAF4L1
P0C7V8	DCAF8L2
Q66K64	DCAF15
O94769	ECM2
Q9HA90	EFCC1
Q5THR3	EFCAB6
Q8WVE0	EEF1AKMT1
Q96AZ1	EEF1AKMT3
Q9NWZ8	GEMIN8
I3L273	GFY
A6NDE8	GAGE12H
Q8N7Z2	GOLGA6L1
Q9H0K6	PUS7L
Q8N2H3	PYROXD2
Q96N64	PWWP2A
I3L0S3	PYCARD-AS1
Q9Y3Y4	PYGO1
Q5TGL8	PXDC1
Q9NR77	PXMP2
Q9Y6I8	PXMP4
Q8TBF2	PRXL2B
Q8WU10	PYROXD1
Q5JQD4	PYY3
B2RC85	RSPH10B2
Q9Y3T6	R3HCC1
Q15032	R3HDM1
Q9Y2K5	R3HDM2
A8MTL3	RNF212B
Q9UNT1	RABL2B
Q96EV2	RBM33
Q6ZSC3	RBM43
Q9Y4C8	RBM19
Q6NVV1	RPL13AP3
Q96D70	R3HDM4
Q9BUV8	RAB5IF
Q6NUR6	RNF216P1
Q96H35	RBM18
Q6ZP01	RBM44
Q5RL73	RBM48
P0C7P1	RBMY1D
A6NEQ0	RBMY1E
Q9H4I0	RAD21L1
P61575	ERVK-8
Q9BRK0	REEP2
A0A1B0GV85	REELD1
Q96EN9	REX1BD
Q8NC44	RETREG2
Q7Z6M1	RABEPK
C9J798	RASA4B
Q15283	RASA2
Q15415	RBMY1F
Q6DKI1	RPL7L1
Q5T8P6	RBM26
Q9P2N5	RBM27
P61578	ERVK-16
P61572	ERVK-19
Q6NWY9	PRPF40B
O60809	PRAMEF10
Q5VWM3	PRAMEF18
Q5VXH4	PRAMEF6
Q9BQI7	PSD2
Q8NFP0	PXT1
Q9P2P1	NYNRIN
A0A2R8YFL7	OOSP4A
P0C6T2	OST4
Q8WV60	PTCD2
O00110	OVOL3
Q8IZE3	SCYL3
Q9Y536	PPIAL4A
A0A0B4J2A2	PPIAL4C
F5H284	PPIAL4D
Q7Z3H0	ANKRD33
Q8N4S7	PAQR4
Q6UY27	PATE2
Q9Y5G9	PCDHGA4
Q9Y5I1	PCDHA11
Q9UN75	PCDHA12
Q9NZH5	PTTG2
Q9NRI6	PYY2
Q32P51	HNRNPA1L2
Q86Y79	PTRH1
Q6P5R6	RPL22L1
Q6DKI7	PVRIG
P0C881	RSPH10B
Q92928	RAB1C
A0A1W2PS18	PMIS2
O95397	PLEKHA8P1
Q6ZR37	PLEKHG7
Q8IVE3	PLEKHH2
A1L4L8	PLAC8L1
Q5JTB6	PLAC9
Q5W5W9	RESP18
Q8TBJ4	PLPPR1
Q96GM1	PLPPR2
A0PG75	PLSCR5
Q13401	PMS2P3
A0A0J9YX94	PNMA6F
P10266	ERVK-10
Q9WJR5	ERVK-19
P63136	ERVK-25
Q6PEZ8	PODNL1
Q6P4A8	PLBD1
Q9NRY7	PLSCR2
A4D2B8	PMS2P1
Q9QC07	ERVK-18
O75864	PPP1R37
Q8NHR9	PFN4
P04280	PRB1
Q6MZM9	PRR27
P0C7W0	PRR29
Q7Z5A4	PRSS42
Q6ZR98	PRSS43
E7EML9	PRSS44
Q7RTY3	PRSS45
E5RG02	PRSS46P
A8MTI9	PRSS47
A0A1B0GVH4	PRSS51
Q2L4Q9	PRSS53
Q6PEW0	PRSS54
Q96A99	PTX4
Q96MI6	PPM1M
Q96S07	PRR25
Q8N8Z3	PRR26
P0CG20	PRR35
P79522	PRR3
Q8IV56	PRR15
A6NIE9	PRSS29P
Q7RTY5	PRSS48
Q2NL68	PROSER3
P63132	HERVK_113
P63135	ERVK-7
Q96LQ0	PPP1R36
Q8WUA2	PPIL4
P86496	PRR20A
P86481	PRR20B
P86479	PRR20C
P86480	PRR20D
Q5VT98	PRAMEF20
A6NEC2	NPEPPSL1
Q8N2U9	PQLC1
Q7RTY9	PRSS41
Q86XN7	PROSER1
Q86WR7	PROSER2
Q9NZH4	PTTG3P
Q5T8A7	PPP1R26
Q86WC6	PPP1R27
Q5R3F8	ELFN2
B1ATL7	PRR32
A8MZF0	PRR33
Q9NV39	PRR34
P63133	ERVK-8
Q8N755	PQLC3
A0A0G2JMD5	PRAMEF33
D3DTV9	PRAC2
O95522	PRAMEF12
Q5SWL7	PRAMEF14
O60811	PRAMEF2
Q9NQW5	PRDM7
Q2TBC4	PRICKLE4
Q8N945	PRELID2
Q4JDL3	PTPN20
P49720	PSMB3
A2A3K4	PTPDC1
Q6GMV3	PTRHD1
A0A1B0GWK0	PVALEF
Q6NUJ5	PWWP2B
Q7RTV5	PRXL2C
Q6ZMI0	PPP1R21
Q9H7J1	PPP1R3E
P60673	PFN3
Q99935	OPRPN
Q9H606	PRORY
Q96M27	PRRC1
Q9ULL5	PRR12
Q8N4B5	PRR18
Q5FWE3	PRRT3
Q5T870	PRR9
Q8N3Z0	PRSS35
A4D1T9	PRSS37
Q8IYP2	PRSS58
A0A1B0GWB2	PRRT1B
A6NEY8	PRORSD1P
O14603	PRY
Q9NRI7	PPY2P
Q5VTL8	PRPF38B
O43900	PRICKLE3
Q9NNZ6	PRM3
O43930	PRKY
Q86UA1	PRPF39
Q8IZ63	PRR22
P21108	PRPS1L1
Q53SZ7	PRR30
Q9H6K5	PRR36
P81277	PRLH
A6NJB7	PRR19
C9JH25	PRRT4
A1L453	PRSS38
A6NEL2	SOWAHB
Q53LP3	SOWAHC
Q6UDR6	SPINT4
Q9BRL6	SRSF8
M5A8F1	ERVH48-1
Q8TD47	RPS4Y2
A6NJG2	SOWAHD
P82909	MRPS36
Q8N5S1	SLC25A41
Q5M8T2	SLC35D3
Q6ZT89	SLC25A48
Q96ER3	SAAL1
Q8N8I0	SAMD12
A0A286YF77	SCYGR6
A0A286YF01	SCYGR7
Q6UWF3	SCIMP
Q9UN30	SCML1
Q96A09	TENT5B
Q9UJQ7	SCP2D1
Q9GZW5	SCAND2P
P82932	MRPS6
Q9BWD3	RTL8A
P08579	SNRPB2
Q66K80	RUSC1-AS1
Q8IZ73	RPUSD2
Q9UIY3	RWDD2A
Q5SY68	S100A7L2
Q8TBP6	SLC25A40
Q8IZD6	SLC22A15
Q9Y2C5	SLC17A4
Q7Z769	SLC35E3
Q9H1N7	SLC35B3
Q8N4F4	SLC22A24
P0C7Q6	SLC35G6
Q7Z3Q1	SLC46A3
W5XKT8	SPACA6
Q96E40	SPACA9
Q9BRL7	SEC22C
Q99590	SCAF11
A0A286YEY9	SCYGR1
A0A286YFB4	SCYGR2
Q9BWG6	SCNM1
Q8NET4	RTL9
Q9BYN8	MRPS26
Q6PIV7	SLC25A34
Q96H78	SLC25A44
A6NK97	SLC22A20P
Q6UXD7	SLC49A3
Q8TCU3	SLC7A13
Q9BYL1	SAMD10
P82921	MRPS21
Q96C34	RUNDC1
Q9H446	RWDD1
O43304	SEC14L5
B5MCN3	SEC14L6
Q63ZE4	SLC22A10
Q9NUL5	RYDEN
Q5VYP0	SPATA31A3
Q6ZUB0	SPATA31D4
Q6PIS1	SLC23A3
Q08AI6	SLC38A11
Q8TDM5	SPACA4
Q9NXZ1	SAGE1
Q8N6K7	SAMD3
Q8IZD0	SAMD14
Q658L1	SAXO2
Q9BQC6	MRPL57
Q6P087	RPUSD3
Q96CM3	RPUSD4
Q9H1U9	SLC25A51
Q3SY17	SLC25A52
Q86WA9	SLC26A11
A6NKF1	SAC3D1
P82912	MRPS11
Q6NW29	RWDD4
Q6NT16	SLC18B1
A6NIM6	SLC15A5
Q8WUT9	SLC25A43
A4IF30	SLC35F4
Q9NQQ7	SLC35C2
Q9NVC3	SLC38A7
Q8TE82	SH3TC1
Q96G79	SLC35A4
Q8NG04	SLC26A10
P82673	MRPS35
Q5VVP1	SPATA31A6
Q8IWB4	SPATA31A7
Q8N1H7	SIX6OS1
Q9Y2W3	SLC45A1
Q9GZN6	SLC6A16
O15042	U2SURP
Q86TD4	SRL
P0DMP2	SRGAP2B
Q9UGK8	SERGEF
Q8N4K4	RPRML
Q96FB5	RRNAD1
P49223	SPINT3
Q2M3V2	SOWAHA
Q1ZZU3	SWI5
Q9HA92	RSAD1
Q96S79	RASL10B
O75818	RPP40
Q9NVS2	MRPS18A
P82933	MRPS9
Q5JUX0	SPIN3
O15514	POLR2D
Q9NSQ0	RRP7BP
Q5VT52	RPRD2
A6NNA2	SRRM3
B3KS81	SRRM5
A6NKH3	RPL37AP8
Q9UNX3	RPL26L1
Q8N9Q2	SREK1IP1
Q4G0T1	null
Q9NRX2	MRPL17
Q9Y6U7	RNF215
Q9H9V4	RNF122
Q96C74	ROPN1L
Q8N5N7	MRPL50
Q8TAA1	RNASE11
Q9H9Y2	RPF1
Q9ULK6	RNF150
Q96A37	RNF166
Q5GAN6	RNASE10
Q6ZSG1	RNF165
Q8NC42	RNF149
Q8TC41	RNF217
Q7L0R7	RNF44
Q5GAN4	RNASE12
Q96A35	MRPL24
Q8N4F7	RNF175
Q86VV4	RANBP3L
E7ERA6	RNF223
Q5T653	MRPL2
Q4U2R6	MRPL51
Q8N983	MRPL43
Q9NWU5	MRPL22
Q8TCC3	MRPL30
Q9BRJ2	MRPL45
Q9H2W6	MRPL46
Q7Z7F7	MRPL55
Q2KHN1	RNF151
P0C263	SBK2
Q13129	RLF
Q9BQ48	MRPL34
Q9P0M9	MRPL27
Q56A73	SPIN4
Q5VWQ0	RSBN1
Q9Y2R5	MRPS17
Q92665	MRPS31
Q6PCB5	RSBN1L
Q6T310	RASL11A
O60783	MRPS14
P62306	SNRPF
A8MWD9	SNRPGP15
P82675	MRPS5
P82914	MRPS15
Q8N8U3	RTL3
Q17RB0	RTL8B
Q9BSG5	RTBDN
Q9UJJ7	RPUSD1
Q9Y2Q9	MRPS28
P62308	SNRPG
Q8N1F8	STK11IP
Q6T423	SLC22A25
Q5VU36	SPATA31A5
Q9H0K4	RSPH6A
Q96DX4	RSPRY1
Q5HYW3	RTL5
Q7L099	RUFY3
P82664	MRPS10
P57060	RWDD2B
Q86UC2	RSPH3
Q96EL2	MRPS24
Q9Y3D5	MRPS18C
Q59EK9	RUNDC3A
Q6ZR62	RTL4
Q96GQ5	C16orf58
Q9UHP6	RSPH14
Q14D33	RTP5
P82663	MRPS25
Q9BPW5	RASL11B
Q7L4I2	RSRC2
Q9BUV0	RSRP1
Q9Y291	MRPS33
P56715	RP1
Q3B726	TWISTNB
Q96GC5	MRPL48
Q9Y3B7	MRPL11
O75394	MRPL33
Q9BYC9	MRPL20
Q9BZE1	MRPL37
Q16540	MRPL23
O60518	RANBP6
Q8WVZ7	RNF133
Q2M238	RRN3P1
A6NIE6	RRN3P2
Q9H0A6	RNF32
Q9BYD2	MRPL9
Q7Z2W9	MRPL21
Q9NX20	MRPL16
Q96MT1	RNF145
Q8N7C7	RNF148
P60153	RNASE9
Q5W0B1	RNF219
Q5VTB9	RNF220
Q96EX2	RNFT2
Q8NHW5	RPLP0P6
Q96DB5	RMDN1
Q8N6D2	RNF182
Q96E39	RBMXL1
A6NCQ9	RNF222
A6NIN4	RNF227
Q5M7Z0	RNFT1
Q86TS9	MRPL52
Q6P161	MRPL54
Q96DV4	MRPL38
P0DH78	RNF224
Q9BYD3	MRPL4
Q96EL3	MRPL53
Q6P1L8	MRPL14
Q9P015	MRPL15
Q9NZE8	MRPL35
Q9BYC8	MRPL32
Q8ND24	RNF214
Q8N5L8	RPP25L
Q9GZM3	POLR2J2
Q96E16	SMIM19
Q9NYK5	MRPL39
M0QZC1	RNF225
Q8N7X1	RBMXL3
Q9Y6S9	RPS6KL1
Q9H1A7	POLR2J3
Q9NQ39	RPS10P5
A6NIZ1	null
Q9UHV5	RAPGEFL1
Q9BWH6	RPAP1
Q9Y3B9	RRP15
Q99611	SEPHS2
O60225	SSX5
Q7RTT6	SSX6
Q7RTT5	SSX7
Q7RTT4	SSX8
B7Z8K6	TRDC
P0DPR3	TRDD1
Q8IZP2	ST13P4
A0JD36	TRDV2
Q6IMI4	SULT6B1
P0CL83	STAG3L1
P0CL85	STAG3L3
Q6NZ63	STEAP1B
Q8N801	STPG4
Q8IWZ5	TRIM42
Q96BQ3	TRIM43
P0CI25	TRIM49
Q495X7	TRIM60
O15016	TRIM66
Q6ZTA4	TRIM67
Q9C037	TRIM4
Q8IX01	SUGP2
Q15527	SURF2
P61009	SPCS3
A6NLX3	SPDYE4
A6NIY4	SPDYE5
Q9BUA3	SPINDOC
A0A0U1RRN3	SPTY2D1OS
Q537H7	SPATA45
Q8NCC5	SLC37A3
Q5MJ09	SPANXN3
Q5MJ08	SPANXN4
Q5MJ07	SPANXN5
O60232	SSSCA1
A2A2V5	SERTM1
P03986	TRGC2
Q8N7X2	STPG3
A6NGW2	STRCP1
Q69YW2	STUM
Q8IWZ4	TRIM48
Q9BSJ1	TRIM51
Q96A61	TRIM52
Q8N300	SVBP
Q8N434	SVOPL
Q8N4V2	SVOP
Q6ZMY3	SPOCD1
Q8TB22	SPATA20
Q9BXN6	SPANXD
Q8NFR3	SPTSSB
Q8IUR0	TRAPPC5
Q8TE77	SSH3
Q56UQ5	null
Q99909	SSX3
P0DMN0	SULT1A4
A0A075B706	TRDJ1
A0A1B0GX56	TRDV1
A0JD37	TRDV3
H3BQB6	STMND1
Q8N412	STPG2
P22531	SPRR2E
Q9BWG4	SSBP4
Q8WWF3	SSMEM1
A2VEC9	SSPO
Q8N609	TRAM1L1
Q6F5E7	TXNRD3NB
A6NCK2	TRIM43B
A6NDI0	TRIM49B
P0CI26	TRIM49C
C9J1S8	TRIM49D1
A6NMA1	TRPC5OS
A6NI03	TRIM64B
A6NLI5	TRIM64C
Q9H4I3	TRABD
P01850	TRBC1
A0A5B9	TRBC2
Q7RTT3	SSX9
Q6ZNB5	null
O94864	SUPT7L
Q8TBR4	STAG3L4
Q6ZMT1	STAC2
Q15005	SPCS2
A6NKU9	SPDYE3
Q15513	SPHAR
Q9Y4P9	SPEF1
Q9C093	SPEF2
Q9BYE4	SPRR2G
A0A1B0GTR4	SPRR5
Q8N9U9	SPANXA2-OT1
Q8NHS9	SPATA22
Q96A44	SPSB4
Q9NUP7	TRMT13
Q8IZ69	TRMT2A
Q8TAQ9	SUN3
O60279	SUSD5
Q9H0A9	SPATC1L
Q96L03	SPATA17
Q6ZMD2	SPNS3
Q5VSR9	SPANXN1
Q7Z2R9	SSBP3-AS1
Q9NUC0	SERTAD4
Q9NRP7	STK36
P03979	TRGV3
Q8NE28	STKLD1
Q9UDY6	TRIM10
Q6UWL2	SUSD1
Q96L08	SUSD3
Q6PIF2	SYCE2
Q2VWA4	SKOR2
Q96K49	TMEM87B
Q1XH10	SKIDA1
Q7Z5M5	TMC3
Q7Z404	TMC4
A8MWV9	SMIM34A
Q8TEV8	SMCR5
Q309B1	TRIM16L
P01848	TRAC
O14545	TRAFD1
Q15629	TRAM1
Q5VT97	SYDE2
O95164	UBL3
Q6ZU65	UBN2
Q8N205	SYNE4
Q70EL1	USP54
Q5T4T6	SYCP2L
Q9H987	SYNPO2L
Q8IYU4	UBQLNL
C9JVI0	USP17L11
O14604	TMSB4Y
P0DN76	U2AF1L5
Q7RTZ2	USP17L1
C9J2P7	USP17L15
Q53H54	TRMT12
D6R901	USP17L21
D6RBM5	USP17L23
Q5TAP6	UTP14C
P58557	YBEY
Q6ZUG5	null
Q1RN00	null
Q0VG73	null
Q68DE3	USF3
O00507	USP9Y
Q9Y5J1	UTP18
Q8IWF7	UBE2DNL
H0YL09	UBE2Q2L
A6NCW7	USP17L4
A6NN06	null
Q8N1X5	null
Q6UWF5	null
Q6ZS52	null
A6NL46	null
Q6RSH7	VHLL
P59090	TSPEAR-AS2
A6NCW0	USP17L3
Q3KQV9	UAP1L1
A0A1B0GUS4	UBE2L5
Q5VVX9	UBE2U
Q96HZ7	URB1-AS1
Q8N2B8	null
A8MTW9	null
Q86TA4	null
Q5DID0	UMODL1
D6RJB6	USP17L20
D6RA61	USP17L22
Q15695	ZRSR2P1
Q5XG85	null
Q8TB05	UBALD1
Q6UY13	null
A8MUA0	null
P0C7I0	USP17L8
C9JJH3	USP17L10
Q5VV11	null
Q86SZ2	TRAPPC6B
Q9BZA5	TXLNGY
C9JLJ4	USP17L13
D6R9N7	USP17L18
D6RCP7	USP17L19
P01567	IFNA7
P01859	IGHG2
P0DOX7	null
P0C7M6	IQCF3
Q86VS3	IQCH
Q9UPP2	IQSEC3
Q96RP7	GAL3ST4
P01358	null
Q4V321	GAGE13
Q14602	ID2B
Q9NZ38	IDI2-AS1
B5MD39	GGTLC3
O75420	GIGYF1
Q9BW72	HIGD2A
P0CJ77	MTRNR2L10
P0CJ68	MTRNR2L1
Q6UXD1	HRCT1
Q3SXM5	HSDL1
A0A0B4J1U7	IGHV6-1
Q9H1B7	IRF2BPL
Q9H2X8	IFI27L2
P0DOX4	null
Q6UW32	IGFL1
Q6UWQ7	IGFL2
C9JLW8	MCRIP1
Q71H61	ILDR2
Q9NWA0	MED9
Q5VYS4	MEDAG
Q8IXL9	IQCF2
P01834	IGKC
Q8IVU1	IGDCC3
Q6B9Z1	IGFL4
Q86VF2	IGFN1
P0DOX5	null
Q70UQ0	IKBIP
Q9NU22	MDN1
Q8NDY4	MDS2
A6NJ69	IGIP
A6NMD0	IFITM10
O15225	INE1
Q5JSS6	MEIG1
A0A087WXM9	MEIKIN
P20155	SPINK2
Q96CN7	ISOC1
A0A0A0MS14	IGHV1-45
P01766	IGHV3-13
P0DP04	IGHV3-43D
A0A0J9YX35	IGHV3-64D
A0A0B4J2H0	IGHV1-69D
A0A0C4DH43	IGHV2-70D
Q6ZVW7	IL17REL
Q2VIR3	EIF2S3B
Q9H7X7	IFT22
P01880	IGHD
Q8N9C0	IGSF22
A1L1A6	IGSF23
P01860	IGHG3
P0DOY2	IGLC2
Q9H665	IGFLR1
Q6UX52	C17orf99
P01743	IGHV1-46
Q5TF58	IFFO2
Q96M15	IGF2BP2-AS1
P0DOX8	null
P0CG04	IGLC1
A0M8Q6	IGLC7
Q9NQT6	FSCN3
A1L4K1	FSD2
Q6ZNA5	FRRS1
Q8NGA4	GPR32P1
Q8N3F9	GPR137C
P0DPI2	GATD3A
Q6NT46	GAGE2A
Q7Z6J4	FGD2
P0C7X4	FTH1P19
Q9BXM9	FSD1L
Q8TAL6	FIBIN
Q8N6M3	FITM2
Q8TC99	FNDC8
A0AVI2	FER1L5
A6NGY1	FRG2C
Q5CZC0	FSIP2
Q9BZ67	FRMD8
O94915	FRYL
Q8N461	FBXL16
Q96IG2	FBXL20
Q7L622	G2E3
A8MYX2	FAM25E
Q6ZUU3	FOXL2NB
Q96IV6	FAXDC2
Q8WXT5	FOXD4L4
Q5VV16	FOXD4L5
Q13069	GAGE5
A9Z1Z3	FER1L4
P63130	ERVK-7
A6NMB9	FIGNL2
Q5H9T9	FSCB
Q9Y2L6	FRMD4B
Q96A11	GAL3ST3
A0A0B4J2D5	GATD3B
P58107	EPPK1
Q8N2X6	EXOC3-AS1
Q52LJ0	FAM98B
Q9Y324	FCF1
B1AJZ9	FHAD1
Q9BXU8	FTHL17
A6NHQ2	FBLL1
Q9Y543	HES2
B3EWG6	FAM25G
P0C7T7	FRMD6-AS1
O60774	FMO6P
Q0VG06	FAAP100
Q9Y597	KCTD3
Q15486	GUSBP1
P22492	HIST1H1T
Q58FF6	HSP90AB4P
Q96JK4	HHIPL1
P0DMP1	MTRNR2L12
B2RXH8	HNRNPCL2
B7ZW38	HNRNPCL3
Q58FG0	HSP90AA5P
P86397	HTD2
A0A0B4J1Y9	IGHV3-72
P31275	HOXC12
P01824	IGHV4-39
A0A0G2JMI3	IGHV1-69-2
Q5T4B2	CERCAM
P0DPK5	null
Q8IV36	HID1
P0CJ75	MTRNR2L8
Q9BW71	HIRIP3
O00479	HMGN4
P0CJ71	MTRNR2L4
O60812	HNRNPCL1
A8MVJ9	null
Q9NQE9	HINT3
Q6UYE1	DLEU7
S4R3Y5	MTRNR2L11
P0CJ70	MTRNR2L3
P0CJ73	MTRNR2L6
Q96S86	HAPLN3
Q9Y661	HS3ST4
Q58FG1	HSP90AA4P
Q9P2D3	HEATR5B
P0CJ69	MTRNR2L2
P0CJ76	MTRNR2L9
Q1KMD3	HNRNPUL2
Q9BVR0	HERC2P3
Q96QI5	HS3ST6
O75031	HSF2BP
Q5T8I9	HENMT1
C9JL84	HHLA1
Q9XRX5	HHLA3
Q5TGJ6	HDGFL1
Q9BSH5	HDHD3
Q9H8Q6	HEXA-AS1
Q9BQD3	KXD1
Q58FF7	HSP90AB3P
Q9NSK0	KLC4
Q6PID8	KLHDC10
Q7Z4H3	HDDC2
Q9BXW7	HDHD5
Q5T447	HECTD3
Q8IXV7	KLHDC8B
A0A0U1RQI7	KLF18
Q86WZ0	HEATR4
A2RTY3	HEATR9
Q9NXS3	KLHL28
Q76N89	HECW1
Q9H511	KLHL31
Q96NJ5	KLHL32
Q2WGJ6	KLHL38
Q9P2K6	KLHL42
B2RPK0	HMGB1P1
A8MVS5	HIDE1
Q8NDA2	HMCN2
Q9BTY7	HGH1
Q8IVU3	HERC6
Q4VC39	HIGD2B
A0A0C4DH62	IGHJ1
Q6UWX4	HHIPL2
Q9P298	HIGD1B
Q12766	HMGXB3
A8MV81	HIGD1C
Q58FF8	HSP90AB2P
Q6MZN7	HCP5
P0DOY5	IGHD1-1
Q5VTJ3	KLHDC7A
Q8IYD2	KLHDC8A
Q9BQ90	KLHDC3
Q6WQI6	HEPN1
Q53HC5	KLHL26
Q0D2K2	KLHL30
A6NCF5	KLHL33
Q8N239	KLHL34
Q6PF15	KLHL35
Q8N4N3	KLHL36
Q9BYK8	HELZ2
A6NK44	GLOD5
Q9NWN3	FBXO34
Q9BRP7	FDXACB1
O95302	FKBP9
Q75LS8	FKBP9P1
Q7Z7B0	FILIP1
Q5VTH2	CFAP126
Q8TBE3	FNDC9
E5RQL4	FTCDNL1
Q6MZW2	FSTL4
O95073	FSBP
Q4VC44	FLYWCH1
Q495W5	FUT11
Q96PS6	GAFA1
A6NGK3	GAGE10
Q9UBA6	C6orf48
Q2WGN9	GAB4
Q9YNA8	ERVK-19
Q13066	GAGE2B
Q75VX8	GAREM2
P10075	GLI4
Q8NHY3	GAS2L2
P62685	ERVK-8
P63126	ERVK-9
Q96MS3	GLT1D1
Q96ME1	FBXL18
P87889	ERVK-10
Q7LDI9	ERVK-6
Q5VVW2	GARNL3
Q5XUX1	FBXW9
Q6PIV2	FOXR1
Q2WGJ9	FER1L6
Q5TBA9	FRY
Q96CP2	FLYWCH2
Q6P050	FBXL22
Q5VTL7	FNDC7
Q5VYV0	FOXB2
Q9BZ68	FRMD8P1
Q5JV73	FRMPD3
Q9UKT6	FBXL21
F2Z333	FNDC10
Q9BVV2	FNDC11
P0C091	FREM3
A8MWK0	FADS2P1
Q8N878	FRMD1
Q6P4F1	FUT10
Q9NU39	FOXD4L1
Q6VB84	FOXD4L3
Q8IWF2	FOXRED2
A6NFH5	FABP12
Q96SL8	FIZ1
Q8N3X1	FNBP4
Q9NZU1	FLRT1
Q5VW36	FOCAD
Q9HCM7	FBRSL1
Q86WN1	FCHSD1
Q8NA97	FER1L6-AS1
B3EWG3	FAM25A
B3EWG5	FAM25C
A8MUU1	FABP5P3
Q6PJ61	FBXO46
Q8NI29	FBXO27
Q8NEA4	FBXO36
Q8IX29	FBXO16
O75426	FBXO24
Q8N531	FBXL6
Q96CD0	FBXL8
Q7Z6M2	FBXO33
Q96M78	FER1L6-AS2
Q9UGQ2	CACFD1
Q99879	HIST1H2BM
P0C1H6	H2BFM
Q5VT28	FAM27B
Q5TGI0	FAXC
Q8TF61	FBXO41
Q96KT0	FAM167A-AS1
Q99525	HIST1H4G
Q6DN72	FCRL6
Q6ZTR7	FAM92B
Q9UH90	FBXO40
Q9BSE4	HERPUD2
Q6ZV73	FGD6
P23527	HIST1H2BO
Q6P2I3	FAHD2B
Q8IZT9	FAM9C
Q494R0	FBXL19-AS1
Q8NCQ5	FBXO15
Q5MNV8	FBXO47
Q6X9E4	FBXW12
Q6P4F2	FDX2
A5D6W6	FITM1
P0CJ74	MTRNR2L7
P13985	HRES1
A0A1B0GTS1	HSFX4
P48741	HSPA7
Q8IU81	IRF2BP1
S4R3P1	MTRNR2L13
Q96IR7	HPDL
Q14568	HSP90AA2P
Q96LI6	HSFY1
P23083	IGHV1-2
A0A0C4DH29	IGHV1-3
P0DP06	IGHV4-30-4
P01742	IGHV1-69
P01817	IGHV2-5
A0A0C4DH32	IGHV3-20
Q9UM19	HPCAL4
C9JCN9	HSBP1L1
P0DP01	IGHV1-8
A0A0C4DH33	IGHV1-24
P01764	IGHV3-23
A0A0C4DH42	IGHV3-66
P01825	IGHV4-59
A0A0J9YXX1	IGHV5-10-1
A0A0J9YVY3	IGHV7-4-1
Q5T953	IER5L
Q8NHY5	HUS1B
Q86XA9	HEATR5A
P01782	IGHV3-9
P01772	IGHV3-33
A0A0B4J1X8	IGHV3-43
A0A075B6Q5	IGHV3-64
A0A0B4J1X5	IGHV3-74
A0A075B6R2	IGHV4-4
P06331	IGHV4-34
A0A0C4DH38	IGHV5-51
O75409	HYPM
A8MTL9	HMSD
Q8IVG9	MT-RNR2
P01814	IGHV2-70
P01762	IGHV3-11
P01768	IGHV3-30
P0DP03	IGHV3-30-5
A0A0A0MS15	IGHV3-49
A0A0B4J1V6	IGHV3-73
A0A0C4DH41	IGHV4-61
Q9H9L3	ISG20L2
Q8NFR9	IL17RE
O14602	EIF1AY
P0DMR1	HNRNPCL4
A0A1B0GWH4	HSFX3
P0DP02	IGHV3-30-3
A0A0C4DH39	IGHV1-58
A0A0B4J1V2	IGHV2-26
O14645	DNALI1
Q96NU7	AMDHD1
P0DP08	IGHV4-38-2
P01780	IGHV3-7
P01763	IGHV3-48
A0A0C4DH34	IGHV4-28
P0DP07	IGHV4-31
A0A087WSY4	IGHV4-30-2
Q96ID5	IGSF21
A0A0C4DH31	IGHV1-18
A0A0B4J1V0	IGHV3-15
A0A0B4J1V1	IGHV3-21
Q0D2I5	IFFO1
P01857	IGHG1
P09565	null
Q13442	PDAP1
P01767	IGHV3-53
Q3MIP1	ITPRIPL2
Q6UXX5	ITIH6
